Disease,Symptoms
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' shivering', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' chills', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' shivering', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' chills', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Allergy,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' ulcers_on_tongue', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
